Gene	Transcripts
UBE3A	NM_000462.5
EIF3L	NM_016091.4
PPP2R2A	NM_002717.4
TXLNB	NM_153235.4
ANG	NM_001097577.3
IQSEC2	NM_001111125.3
NBEAL1	NM_001114132.1
TRIM38	NM_006355.5
DEFB116	NM_001037731.1
KLHL18	NM_025010.5
ATP2A1	NM_004320.5
SLC22A18AS	NM_007105.4
CAT	NM_001752.4
ACTRT2	NM_080431.5
CYBB	NM_000397.4
MORC3	NM_015358.3
OR2A7	NM_001005328.1
SMIM17	NM_001193628.2
CHST13	NM_152889.3
HNRNPR	NM_005826.5
TXNDC8	NM_001003936.4
MADCAM1	NM_130760.3
TUBD1	NM_016261.4
FATE1	NM_033085.3
EXOC2	NM_018303.6
ARL16	NM_001040025.2
RGS8	NM_033345.3
GPER1	NM_001039966.1
YTHDC1	NM_133370.4
NPRL3	NM_001039476.2
PRDX3	NM_006793.5
ECHDC2	NM_018281.4
IDH1	NM_005896.3
MAP4K1	NM_001042600.3
UGT2B11	NM_001073.3
FAM24B	NM_152644.3
FTSJ3	NM_017647.4
GSKIP	NM_016472.5
SLAIN2	NM_020846.2
ARMCX4	NM_001256155.2
PAX4	NM_001366110.1
ZNF610	NM_173530.2
SH2B3	NM_005475.3
PARP11	NM_001286521.1
RTKN2	NM_145307.4
FDXACB1	NM_138378.3
UBE2F	NM_080678.2
MIOS	NM_019005.4
SAFB	NM_001201338.2
MPEG1	NM_001039396.2
ABHD4	NM_022060.2
PTCHD4	NM_001013732.3
PRMT3	NM_005788.4
EFL1	NM_024580.6
MFAP4	NM_002404.3
CD276	NM_025240.2
SMTNL2	NM_198501.3
DMRT1	NM_021951.3
FBLL1	NM_001355274.2
USP12	NM_182488.4
CBR3	NM_001236.4
GCSH	NM_004483.5
LIMS3	NM_033514.5
IKZF1	NM_006060.6
PGRMC2	NM_006320.6
N6AMT1	NM_013240.6
MERTK	NM_006343.3
FDPS	NM_002004.4
ANAPC7	NM_016238.2
CCL3L3	NM_001001437.4
RERG	NM_032918.3
SYVN1	NM_032431.3
DEGS2	NM_206918.3
TMEM37	NM_183240.3
KRT6C	NM_173086.5
ZBED6CL	NM_138434.2
MMP27	NM_022122.3
SPO11	NM_012444.3
CMTM6	NM_017801.3
GRK7	NM_139209.2
GPR1	NM_001098199.1
ACOT4	NM_152331.3
CXCL14	NM_004887.5
RBM4	NM_002896.3
IL4	NM_000589.4
C5AR1	NM_001736.4
CT45A5	NM_001007551.4
TNK2	NM_005781.4
NCS1	NM_014286.4
DCAKD	NM_024819.7
CNBP	NM_003418.5
WBP11	NM_016312.3
ST13	NM_003932.5
OR5AL1	NM_001348230.1
ST18	NM_001352826.1
PKD1L1	NM_138295.4
UBXN2A	NM_181713.4
ECI2	NM_006117.2
BRMS1L	NM_032352.4
PIKFYVE	NM_015040.4
TRPM6	NM_017662.5
PTGIS	NM_000961.4
LARP1B	NM_018078.4
ZNF503	NM_032772.6
KATNA1	NM_007044.4
CDS1	NM_001263.4
SH2D1A	NM_002351.4
PIMREG	NM_019013.3
CASP14	NM_012114.3
NTF3	NM_001102654.2
POLR2F	NM_021974.5
DUS4L	NM_181581.3
CCL2	NM_002982.4
TAS2R5	NM_018980.3
TM9SF3	NM_020123.4
FUT10	NM_032664.3
NEK8	NM_178170.3
LGR5	NM_003667.4
APOC4	NM_001646.3
CABP7	NM_182527.3
GPC4	NM_001448.3
NWD1	NM_001007525.5
EID2B	NM_152361.3
ADH1C	NM_000669.5
OSR1	NM_145260.3
PLAC8	NM_016619.3
FUT11	NM_173540.3
TOX	NM_014729.3
ICMT	NM_012405.4
FNDC10	NM_001242659.2
SH2B2	NM_020979.5
TMEM35B	NM_001195156.1
TAF15	NM_139215.3
UBE3D	NM_198920.3
IGF2BP1	NM_006546.4
ITGA9	NM_002207.3
TMEM120A	NM_031925.3
SPINT4	NM_178455.3
ECSCR	NM_001077693.4
MAPRE1	NM_012325.3
NCAPH	NM_015341.5
NTN5	NM_145807.2
TEX48	NM_001199233.2
CCNJ	NM_019084.5
AKAP13	NM_007200.5
LGSN	NM_016571.3
RNASEL	NM_021133.4
CA8	NM_001321837.2
CPE	NM_001873.4
HYAL3	NM_003549.4
FOXP1	NM_032682.5
PRMT2	NM_001535.4
PBX2	NM_002586.5
RBMS2	NM_002898.4
MIA3	NM_198551.4
IDH3B	NM_001258384.2
SERPINE2	NM_006216.3
GTF2H4	NM_001517.5
CYTH4	NM_001318024.2
ZNF66	NM_001355197.2
ZWINT	NM_001005413.1
OR10AG1	NM_001005491.1
HLA-DMA	NM_006120.4
RND2	NM_005440.5
HAS2	NM_005328.3
SLC46A2	NM_033051.4
TCF24	NM_001193502.2
ISLR2	NM_020851.3
SLC39A9	NM_018375.5
B4GALNT3	NM_173593.4
CYB561A3	NM_153611.5
COA4	NM_016565.3
RMI2	NM_152308.3
FAM72B	NM_001100910.1
JAKMIP1	NM_144720.4
GCNA	NM_052957.4
LGALS14	NM_020129.3
P2RY11	NM_002566.5
TMEM88	NM_203411.2
TTC37	NM_014639.3
TUBGCP3	NM_006322.6
SEC22C	NM_004206.4
PCLAF	NM_014736.6
TWIST1	NM_000474.4
CBX6	NM_014292.5
RPS6KB1	NM_003161.4
MALT1	NM_006785.4
FAM151B	NM_205548.3
MRPL19	NM_014763.4
NR2C2AP	NM_176880.6
ATP10D	NM_020453.4
GLYATL1B	NM_001355566.1
TTLL10	NM_153254.3
GNPDA1	NM_005471.5
GDF9	NM_005260.5
CLIP4	NM_024692.6
PPIL1	NM_016059.5
KANSL1	NM_015443.3
FAM89B	NM_152832.3
CPED1	NM_024913.5
GPSM2	NM_013296.5
AKAP17A	NM_005088.3
PTER	NM_030664.4
SLC35E2A	NM_182838.2
SRSF4	NM_005626.5
NRDE2	NM_017970.4
CAPN6	NM_014289.4
HGS	NM_004712.5
SIRT4	NM_012240.2
DGLUCY	NM_024952.7
ZSWIM6	NM_020928.2
PAK3	NM_002578.5
PSMA3	NM_002788.4
SERPINA6	NM_001756.4
RWDD3	NM_015485.5
TCEAL9	NM_016303.3
CTR9	NM_014633.5
PCDH11X	NM_032969.4
F8A1	NM_012151.3
JSRP1	NM_144616.4
HDAC9	NM_001204144.3
SYCP2	NM_014258.4
ZNF205	NM_003456.3
GPR143	NM_000273.3
EVI5L	NM_145245.5
THBS1	NM_003246.4
ZNF157	NM_003446.3
LSM11	NM_173491.4
KIF7	NM_198525.3
MAGEA3	NM_005362.4
KAZN	NM_001017999.2
ADAMTS2	NM_014244.5
MRPL46	NM_022163.4
SGCG	NM_000231.2
NUDT17	NM_001012758.3
SIN3A	NM_015477.3
ZNF292	NM_015021.3
FAAH	NM_001441.3
HMSD	NM_001123366.2
WBP4	NM_007187.5
NDUFC2	NM_004549.6
COPS4	NM_001258006.2
MMP3	NM_002422.5
CCER2	NM_001243212.1
YARS1	NM_003680.3
STX17	NM_017919.3
P2RY14	NM_014879.4
GBP5	NM_052942.4
XPNPEP2	NM_003399.6
DNAJC16	NM_015291.4
MSRB3	NM_198080.4
PYY	NM_004160.5
KCNE4	NM_080671.3
AHI1	NM_017651.4
ALMS1	NM_015120.4
ARHGAP23	NM_001199417.2
OR11H1	NM_001005239.1
SMIM1	NM_001163724.2
SPTAN1	NM_003127.4
RAB42	NM_152304.3
ACSL4	NM_004458.3
CDK3	NM_001258.2
DYNLL1	NM_003746.3
WDR33	NM_018383.5
GRIN1	NM_007327.4
GEMIN6	NM_024775.10
ZNF763	NM_001012753.2
TRIM44	NM_017583.6
FRMPD3	NM_032428.2
SEC11C	NM_033280.4
RPS14	NM_001025071.2
N4BP2L1	NM_052818.3
MLNR	NM_001507.1
MACC1	NM_182762.4
FAM47B	NM_152631.3
ZNF148	NM_021964.2
KIAA1549L	NM_012194.3
OR5H1	NM_001005338.1
JPT1	NM_001002032.3
CD68	NM_001251.3
TRIML2	NM_173553.4
RPL14	NM_003973.5
TMEM121	NM_025268.4
PLAC9	NM_001012973.3
CDK15	NM_001261435.1
LYZ	NM_000239.3
SIGLEC9	NM_014441.2
MTCP1	NM_001018025.4
CKLF-CMTM1	NM_001202509.2
CX3CL1	NM_002996.6
MRGPRG	NM_001164377.1
MECR	NM_016011.5
TRIM56	NM_030961.3
C1QTNF7	NM_001135170.2
CCDC172	NM_198515.3
CDC42SE2	NM_020240.2
NUDT14	NM_177533.5
METTL2A	NM_181725.3
ZNHIT2	NM_014205.4
SLC9A2	NM_003048.6
CMBL	NM_138809.4
SAMD11	NM_152486.3
KIF2B	NM_032559.5
USP42	NM_032172.3
CDO1	NM_001801.3
SNCA	NM_000345.4
KCNN4	NM_002250.3
PROKR1	NM_138964.3
SLC25A53	NM_001012755.5
CDYL2	NM_152342.4
OR2T4	NM_001004696.1
AKR7A3	NM_012067.3
MRO	NM_031939.6
AZGP1	NM_001185.4
TAF7	NM_005642.3
NACAD	NM_001146334.2
ANP32C	NM_012403.1
HERC6	NM_001165136.1
CNR2	NM_001841.3
KCNJ2	NM_000891.3
ZXDB	NM_007157.3
RAB6C	NM_032144.3
KRT12	NM_000223.4
SERPINF2	NM_000934.3
SCRT1	NM_031309.6
TMOD1	NM_003275.4
TMEM158	NM_015444.3
CLDN25	NM_001101389.1
OTOS	NM_148961.4
ZFP90	NM_133458.4
ARHGEF3	NM_019555.3
FBXO40	NM_016298.4
BRPF3	NM_015695.3
OR2L2	NM_001004686.2
SCAMP4	NM_079834.4
IFI6	NM_022873.3
RNASE10	NM_001012975.1
PITPNM3	NM_031220.4
OR10X1	NM_001004477.1
SON	NM_138927.3
CHL1	NM_006614.4
WDFY2	NM_052950.4
GATA2	NM_032638.5
CTSH	NM_004390.5
P2RY2	NM_176072.3
TNFAIP6	NM_007115.4
TMEM239	NM_001167670.3
NPHS2	NM_001297575.2
TMEM267	NM_022483.5
ALDH1L1	NM_012190.4
ALPP	NM_001632.5
ELOA3B	NM_001100817.2
DZANK1	NM_001099407.1
TRPA1	NM_007332.3
HBA2	NM_000517.6
ASB5	NM_080874.4
HSFX1	NM_016153.3
MAP4K2	NM_004579.5
PLEK	NM_002664.3
ICAM3	NM_001320605.2
USP17L19	NM_001256860.1
PMEPA1	NM_020182.5
ITPRIPL2	NM_001034841.3
MRPS15	NM_031280.4
MAGEA9B	NM_001080790.1
PGM2L1	NM_173582.6
LMOD3	NM_198271.4
FGF20	NM_019851.3
KHNYN	NM_001290256.1
CRYGA	NM_014617.4
PYCARD	NM_013258.5
TMEM232	NM_001039763.4
FITM2	NM_001080472.4
OR11H4	NM_001004479.1
ACTR1A	NM_005736.4
SMPD2	NM_003080.3
LMO2	NM_005574.4
PIK3C2B	NM_002646.3
SLA	NM_001045556.3
WDTC1	NM_015023.5
INTS3	NM_023015.5
IST1	NM_014761.4
ABCA1	NM_005502.4
BGLAP	NM_199173.6
KDM6A	NM_021140.3
ZNF704	NM_001033723.3
PI4K2A	NM_018425.3
NACC1	NM_052876.4
NRXN3	NM_001105250.3
TDRKH	NM_006862.4
SLC24A3	NM_020689.4
OR6Q1	NM_001005186.2
OR13C3	NM_001001961.1
CYLC1	NM_021118.3
ABL2	NM_005158.5
PSME3IP1	NM_024946.4
UTP11	NM_016037.4
RIMS3	NM_014747.3
NPTXR	NM_014293.4
ACSBG1	NM_015162.5
CTNND1	NM_001331.3
KLF5	NM_001286818.1
PUM1	NM_001020658.2
CLEC16A	NM_015226.3
SLC9A3R1	NM_004252.5
BSCL2	NM_032667.6
CRLS1	NM_019095.6
GPSM3	NM_022107.2
RBPMS	NM_001008710.3
TGFB1	NM_000660.7
SLC5A5	NM_000453.3
LUZP6	NM_001128619.3
NME1	NM_000269.2
PHF20	NM_016436.5
ERFL	NM_001365103.1
NOS2	NM_000625.4
ETDA	NM_001355522.1
MORF4L1	NM_006791.4
EFCAB13	NM_152347.5
POU3F3	NM_006236.3
LRRC45	NM_144999.4
CDC42EP2	NM_006779.4
ATXN2	NM_002973.4
GPCPD1	NM_019593.5
WARS2	NM_015836.3
TRAM2	NM_012288.4
ETV1	NM_004956.5
ABHD12	NM_015600.5
HROB	NM_024032.5
ADGRA3	NM_145290.4
TMCO6	NM_018502.4
UBXN11	NM_145345.2
CREG2	NM_153836.4
EPAS1	NM_001430.5
MRGPRF	NM_145015.5
CDX2	NM_001265.6
F8A3	NM_001007524.1
ARHGEF4	NM_001367493.1
HIGD2A	NM_138820.4
ABTB2	NM_145804.3
SMPX	NM_014332.3
C12orf42	NM_198521.4
NCLN	NM_020170.4
KIAA2012	NM_001277372.4
RUSC1	NM_001105203.2
RAB24	NM_130781.3
JCHAIN	NM_144646.4
SNRPC	NM_003093.3
ATPAF1	NM_022745.4
AGR3	NM_176813.5
NOLC1	NM_004741.5
PROS1	NM_000313.4
SPRED3	NM_001042522.2
TMEM97	NM_014573.3
PCNX1	NM_014982.3
SPEGNB	NM_001286811.1
CREB3L2	NM_194071.4
SMPD4	NM_017751.4
FNDC3B	NM_022763.4
ZER1	NM_006336.4
RANGRF	NM_016492.5
SERPINB3	NM_006919.3
SPATA31D1	NM_001001670.3
STEAP3	NM_018234.3
TFAP2B	NM_003221.4
ZSCAN5B	NM_001080456.2
ADPGK	NM_031284.5
SSPN	NM_005086.4
PLIN5	NM_001013706.3
TMED4	NM_182547.4
TNNI3K	NM_015978.3
PPP1R3C	NM_005398.7
RAB4A	NM_004578.4
SFTA2	NM_205854.3
CSRNP2	NM_030809.3
NT5C2	NM_012229.4
ASCC2	NM_032204.5
KRT28	NM_181535.3
DYSF	NM_003494.4
KRTAP5-5	NM_001001480.2
FAM53C	NM_016605.3
NKRF	NM_017544.5
TMTC4	NM_032813.5
HLA-DRA	NM_019111.5
NEMP2	NM_001142645.2
PCGF2	NM_007144.3
KIF14	NM_014875.3
CNTLN	NM_017738.4
SMARCAL1	NM_001127207.2
HNF1A	NM_000545.6
ZBTB18	NM_205768.2
DPPA2	NM_138815.4
H3C15	NM_001005464.2
SUCNR1	NM_033050.6
ATXN7L3	NM_020218.1
PRMT6	NM_018137.3
SCNN1B	NM_000336.3
PMF1-BGLAP	NM_001199661.1
KCNJ4	NM_004981.1
OSR2	NM_053001.3
PLA2G2F	NM_022819.4
PSMB11	NM_001099780.2
EIF2B3	NM_020365.5
SLC37A4	NM_001467.6
NSMCE1	NM_145080.4
C15orf61	NM_001143936.2
CYHR1	NM_032687.4
NPAS2	NM_002518.4
PKN3	NM_013355.5
DCHS1	NM_003737.4
SMS	NM_004595.5
KRTAP5-9	NM_005553.3
MROH2B	NM_173489.5
SGCB	NM_000232.4
DPH3	NM_206831.3
SURF4	NM_033161.4
NARS2	NM_024678.6
NEURL4	NM_032442.3
SBK3	NM_001199824.2
ID1	NM_002165.4
NDUFS8	NM_002496.4
DMRTB1	NM_033067.2
MUTYH	NM_012222.2
OR7G1	NM_001005192.2
RBM12	NM_006047.6
OR3A2	NM_002551.3
MEMO1	NM_015955.4
F3	NM_001993.5
MRM2	NM_013393.3
NAPA	NM_003827.4
DUSP27	NM_001080426.3
N4BP2L2	NM_014887.3
IQGAP3	NM_178229.5
KIAA1328	NM_020776.3
RGS18	NM_130782.3
ALX4	NM_021926.4
WDR70	NM_018034.4
TMEM189	NM_199129.3
KSR1	NM_014238.2
TAS2R16	NM_016945.3
BRCC3	NM_024332.3
GJA10	NM_032602.2
INPP5J	NM_001002837.2
SYBU	NM_017786.6
LCK	NM_005356.5
SNRNP48	NM_152551.4
VRK2	NM_006296.6
U2AF1	NM_006758.2
EYS	NM_001292009.1
MTOR	NM_004958.4
PRKG2	NM_006259.2
BBS9	NM_001033604.1
SLC6A13	NM_016615.5
BZW2	NM_014038.3
IFNA4	NM_021068.2
OR14I1	NM_001004734.1
NPEPPS	NM_006310.4
NPC1L1	NM_013389.3
HSP90AA1	NM_005348.4
RIPK1	NM_003804.6
ZAR1	NM_175619.3
IER3IP1	NM_016097.5
LALBA	NM_002289.2
PITPNM1	NM_004910.3
OR2G2	NM_001001915.1
PNLIPRP3	NM_001011709.3
SYN1	NM_006950.3
AMOTL1	NM_130847.3
BRAP	NM_006768.5
CCR8	NM_005201.4
PLA2G12A	NM_030821.5
HDHD2	NM_032124.5
PLOD1	NM_000302.4
ELOVL1	NM_022821.4
ABCC10	NM_033450.2
UNC93B1	NM_030930.4
OSBPL9	NM_001330580.2
CEP57	NM_014679.5
TENT4A	NM_006999.6
KIAA0753	NM_014804.3
TSC22D1	NM_006022.4
FAM102A	NM_001035254.3
TJAP1	NM_080604.3
CPEB3	NM_014912.5
PDE4A	NM_001111307.2
UBXN10	NM_152376.5
SLC7A6	NM_003983.6
CCS	NM_005125.2
MLLT6	NM_005937.4
ZNF777	NM_015694.3
MARCHF9	NM_138396.6
DCP1B	NM_152640.5
DLX2	NM_004405.4
CMTM5	NM_001037288.2
HMGB3	NM_005342.4
PIPOX	NM_016518.3
ME1	NM_002395.6
CP	NM_000096.4
C4orf54	NM_001354435.1
C3orf85	NM_001351622.2
C1GALT1C1	NM_152692.4
SMOC1	NM_001034852.3
NOS1	NM_000620.5
ADAM17	NM_003183.6
TNR	NM_003285.3
COPS7B	NM_022730.4
SMARCC2	NM_001130420.3
LAMP3	NM_014398.4
FDX2	NM_001031734.4
TRIM63	NM_032588.3
MAGIX	NM_024859.3
MRPS21	NM_018997.3
ARMC2	NM_032131.6
SNORC	NM_206895.3
BEST4	NM_153274.3
CELF1	NM_006560.4
WDR24	NM_032259.4
AGFG1	NM_004504.4
RASA1	NM_002890.3
USP37	NM_020935.3
WFDC9	NM_147198.4
PIAS2	NM_004671.5
KLRC4-KLRK1	NM_001199805.1
VAT1	NM_006373.4
NPIPB8	NM_001310136.1
IRAK1BP1	NM_001010844.4
MED31	NM_016060.3
CTNNA2	NM_004389.3
ZNF555	NM_152791.5
PLCD3	NM_133373.5
TMED8	NM_213601.3
PPP2R5D	NM_006245.4
TPX2	NM_012112.5
TMEM244	NM_001010876.2
USP17L24	NM_001242327.1
ERI2	NM_080663.3
CNTN3	NM_020872.2
CYB5B	NM_030579.3
HSPA1B	NM_005346.6
TPBGL	NM_001195528.2
VAT1L	NM_020927.3
EOLA1	NM_178124.6
NEUROD1	NM_002500.4
NLRP1	NM_033004.4
APOM	NM_019101.3
HIF1AN	NM_017902.3
C9	NM_001737.5
ANAPC15	NM_014042.3
CPA4	NM_016352.3
DLX6	NM_005222.4
ART3	NM_001179.5
ZNF491	NM_152356.4
KCNK1	NM_002245.4
ARNT	NM_001197325.2
PLXNA1	NM_032242.3
PET117	NM_001164811.2
CFAP298	NM_021254.4
GNRHR	NM_000406.3
NUP160	NM_015231.2
LRRC41	NM_006369.4
TPPP2	NM_173846.5
EFR3A	NM_015137.6
GPR21	NM_005294.2
RAB3B	NM_002867.4
OR9A2	NM_001001658.1
PKD1	NM_000296.4
RNF114	NM_018683.4
DKK1	NM_012242.4
FGFR4	NM_001291980.2
MMP19	NM_002429.6
UROD	NM_000374.5
AMBRA1	NM_017749.3
CD6	NM_006725.5
RD3	NM_183059.2
LGALS7	NM_002307.3
BTN1A1	NM_001732.3
SOS2	NM_006939.4
DCTPP1	NM_024096.2
NBEA	NM_015678.4
USP45	NM_032929.2
MCPH1	NM_024596.5
DBNDD1	NM_024043.3
SSX2	NM_003147.5
ESYT2	NM_020728.3
LRRN1	NM_020873.7
DENND3	NM_014957.5
HTR6	NM_000871.3
RRM2B	NM_001172477.1
KRTAP2-1	NM_001123387.1
IL37	NM_014439.3
IMPG2	NM_016247.4
SUMO1	NM_003352.6
POLR2B	NM_000938.3
SERPINB5	NM_002639.5
MAP6D1	NM_024871.3
FARP2	NM_001282983.2
SH3RF2	NM_152550.4
LORICRIN	NM_000427.3
GLB1L2	NM_138342.3
VIPAS39	NM_022067.4
OR52B6	NM_001005162.2
SCGB3A1	NM_052863.3
PLPBP	NM_007198.4
USP30	NM_032663.5
RBP2	NM_004164.3
THAP4	NM_015963.6
RXFP2	NM_130806.5
UGP2	NM_006759.3
TRPC1	NM_003304.4
PIGV	NM_017837.3
TMEM108	NM_023943.4
MISP	NM_173481.4
SUPT3H	NM_181356.3
PLA2G6	NM_001004426.2
PLD1	NM_002662.5
TENT5B	NM_052943.4
ARHGEF35	NM_001003702.2
PF4	NM_001363352.1
LINC01638	NM_001350812.2
AK1	NM_000476.2
RBP7	NM_052960.3
XPA	NM_000380.3
KCNT2	NM_198503.5
ADRB1	NM_000684.3
HNRNPA1	NM_031157.4
NKX2-6	NM_001136271.2
OR51A4	NM_001005329.1
PIK3R3	NM_003629.4
MTARC1	NM_022746.4
PIF1	NM_025049.4
PRRT3	NM_207351.5
NECTIN1	NM_002855.5
LHFPL2	NM_005779.3
KISS1R	NM_032551.5
VAX1	NM_001112704.2
UGT2A1	NM_006798.5
KRTAP13-1	NM_181599.3
RNF151	NM_174903.6
PLEKHH2	NM_172069.4
GPAT2	NM_207328.3
CCDC146	NM_020879.3
ACE2	NM_001371415.1
ZNF674	NM_001039891.3
DRD2	NM_000795.4
PPT2	NM_138717.3
LAIR1	NM_001289023.3
MEFV	NM_000243.2
NDUFA4	NM_002489.4
H6PD	NM_004285.4
SPP2	NM_006944.3
OTX1	NM_001199770.2
OR4C16	NM_001004701.2
TMEM242	NM_018452.6
LGALS9	NM_009587.3
BFSP2	NM_003571.4
COX16	NM_016468.7
HOXD1	NM_024501.3
KRBA2	NM_213597.3
IGFBP7	NM_001253835.1
C1orf216	NM_152374.2
BICDL2	NM_001103175.2
CHSY1	NM_014918.5
ZNF473	NM_001308424.3
SF3B5	NM_031287.3
FOXM1	NM_021953.4
RPS11	NM_001015.5
BCLAF3	NM_198279.3
WDR35	NM_020779.4
LRP3	NM_002333.4
NTN4	NM_021229.4
MRRF	NM_138777.5
EIF4E	NM_001968.4
PRAMEF19	NM_001099790.2
AGPAT2	NM_006412.4
RNF215	NM_001017981.2
QPCT	NM_012413.4
VRTN	NM_018228.3
ATP5PB	NM_001688.5
H2AC19	NM_001040874.1
OTUD7A	NM_130901.3
RHPN2	NM_033103.5
PRKAG3	NM_017431.3
PTK2	NM_005607.5
CHI3L1	NM_001276.4
POPDC2	NM_022135.3
OGDHL	NM_018245.3
PIK3R5	NM_014308.3
CREB3L3	NM_032607.3
RAB21	NM_014999.4
TNFSF18	NM_005092.3
IGF2BP2	NM_006548.6
CHP2	NM_022097.4
MYH1	NM_005963.4
CD38	NM_001775.4
WASF1	NM_003931.3
LEPR	NM_002303.5
HPSE	NM_006665.5
GAGE12C	NM_001098408.1
C11orf52	NM_080659.3
LAMTOR3	NM_021970.4
SPEG	NM_005876.5
TEDC1	NM_001134875.1
UFSP1	NM_001015072.4
CCDC87	NM_018219.3
SLC22A13	NM_004256.4
RAC1	NM_018890.4
DBX2	NM_001004329.3
OR2A5	NM_012365.1
CLPS	NM_001832.4
IDUA	NM_000203.5
KRT10	NM_000421.4
COPZ1	NM_016057.3
FIGNL1	NM_001042762.4
NRIP3	NM_020645.3
ZNF391	NM_001076781.2
KDM3A	NM_018433.6
DIRAS2	NM_017594.5
ZNF565	NM_152477.5
MGAT4C	NM_013244.5
GALNTL6	NM_001034845.3
POLR2I	NM_006233.5
ALG2	NM_033087.4
KLHL32	NM_052904.4
CSNK1G3	NM_004384.4
BCL2L11	NM_001204106.2
MDFI	NM_005586.4
FAM156A	NM_014138.4
PYDC5	NM_001320010.1
LHCGR	NM_000233.4
HSFX3	NM_001323079.1
HAVCR1	NM_012206.3
CHD1	NM_001270.2
PHPT1	NM_014172.6
CSF3	NM_172220.3
H2BC13	NM_003519.3
RAB12	NM_001025300.2
ECE2	NM_014693.4
PJA2	NM_014819.5
OR52W1	NM_001005178.1
SATB2	NM_015265.4
RAD54B	NM_012415.3
KLHL36	NM_001303451.2
WNT5A	NM_003392.4
HLA-DMB	NM_002118.5
USP50	NM_203494.5
EID2	NM_153232.4
PIK3R4	NM_014602.3
SPACA7	NM_145248.5
HNF1B	NM_000458.4
TXLNA	NM_175852.4
BLZF1	NM_003666.3
PRAC2	NM_001282275.2
ZNF623	NM_014789.3
ANKS4B	NM_145865.3
BCAS1	NM_003657.3
SPARCL1	NM_001128310.2
CT47B1	NM_001145718.1
HRAS	NM_176795.4
TIMM8B	NM_012459.4
ST8SIA3	NM_015879.3
INO80D	NM_017759.5
VPS4A	NM_013245.3
TEC	NM_003215.3
CHRNA4	NM_000744.6
LMF2	NM_033200.3
CLDN17	NM_012131.3
HGH1	NM_016458.4
NLRP3	NM_004895.4
RGL3	NM_001161616.3
CACNG1	NM_000727.4
HLA-DQA1	NM_002122.5
SRGAP1	NM_001346201.2
SCARA5	NM_173833.6
ZNF445	NM_181489.6
CHM	NM_000390.4
EXOC3	NM_007277.5
SH3GLB2	NM_001287045.1
MLH1	NM_000249.3
STAP2	NM_001013841.2
MICA	NM_001177519.3
EIF2B5	NM_003907.3
SLC39A5	NM_173596.3
MED27	NM_004269.4
RGS20	NM_001286673.2
EBPL	NM_032565.5
ZNF512B	NM_020713.3
CYP46A1	NM_006668.2
ERICH5	NM_173549.3
ARL10	NM_173664.6
KANK2	NM_015493.6
MAPK10	NM_001318067.1
SLAMF9	NM_033438.4
AIMP1	NM_004757.3
CD99L2	NM_031462.4
ITGA10	NM_003637.5
BLVRB	NM_000713.3
CDCA4	NM_145701.3
NCOA7	NM_001199619.2
ARID3B	NM_006465.4
TFB2M	NM_022366.3
CCDC82	NM_024725.4
ZNF730	NM_001277403.2
INAVA	NM_018265.4
SPINK9	NM_001040433.2
LRATD2	NM_174911.5
ARV1	NM_022786.3
CD200R1	NM_138806.4
CLECL1	NM_172004.3
JCAD	NM_020848.4
HTD2	NM_001348712.1
GSPT1	NM_002094.4
LAMTOR2	NM_014017.4
CELF4	NM_020180.4
OLA1	NM_013341.5
ABCG2	NM_004827.3
PRKCA	NM_002737.3
CLDN34	NM_001195081.2
G6PD	NM_000402.4
OCLN	NM_002538.4
KATNAL2	NM_031303.3
PIGT	NM_015937.6
B3GNT5	NM_032047.5
CD9	NM_001330312.2
YTHDF3	NM_152758.6
KCNQ4	NM_004700.4
VPS13B	NM_017890.4
C20orf173	NM_001145350.2
ERRFI1	NM_018948.4
TMEM82	NM_001013641.3
OR2G3	NM_001001914.1
CDK9	NM_001261.4
H2AC17	NM_003514.2
TRIT1	NM_017646.6
POLR2C	NM_032940.3
GRIK1	NM_000830.5
SNRNP70	NM_003089.6
MLH3	NM_014381.3
ODF3	NM_001286136.1
CREM	NM_001881.3
ARMC8	NM_015396.6
SYNM	NM_145728.3
LY6G5C	NM_025262.3
ZNF570	NM_144694.4
FIZ1	NM_032836.3
EGFR	NM_005228.5
ZYX	NM_003461.5
NPPB	NM_002521.3
ERI1	NM_153332.4
ANKRD24	NM_133475.1
LCE3E	NM_178435.4
LRMDA	NM_032024.4
SPANXA1	NM_013453.3
CCDC186	NM_018017.4
RGS2	NM_002923.4
AMIGO3	NM_198722.3
ACADL	NM_001608.4
DHFR2	NM_176815.5
BRINP3	NM_199051.3
SPTA1	NM_003126.4
SPG7	NM_003119.4
PYDC2	NM_001083308.1
APOBEC3D	NM_152426.4
KLK5	NM_012427.5
PABPC4L	NM_001114734.2
TNFRSF11A	NM_001270949.1
TIMM8A	NM_004085.4
WDR72	NM_182758.4
LRRC58	NM_001099678.2
CCDC12	NM_144716.5
NKX3-2	NM_001189.4
PSEN1	NM_000021.4
KCNMB1	NM_004137.4
NQO1	NM_000903.3
LOXL4	NM_032211.7
LILRA2	NM_001130917.3
SOX4	NM_003107.3
KCNK2	NM_014217.4
PYGL	NM_002863.5
NEPRO	NM_015412.4
PTDSS1	NM_001290225.2
OR9Q2	NM_001005283.2
NR2C1	NM_003297.4
MSRB1	NM_016332.3
HDGFL2	NM_001001520.3
FLG2	NM_001014342.3
WBP2NL	NM_152613.3
FAM107B	NM_031453.3
SYF2	NM_015484.5
